# FCR baseline synthetic trace (formula-consistent template)
# Scenario=Delhi | Seed=902 | Duration=3600s | UpdateInterval=300s | α=0.8 | β=1.3 | δ=0.5
# Generated=2026-02-14T11:34:26.146249Z
"# NOTE: This is a synthetic, equation-constrained trace for comparison formatting. Use real simulator outputs for publication claims."

Time(s),Scenario,SegmentID,K_t (density),K_max,v_t (m/s),v_max (m/s),F_t (flow),F_cap (capacity),ResidualCap,F_exc (excess),Congested(0/1),CongestionExpansion_beta,Compliance_alpha,UpdateStep(0/1),ReroutedVolume_Ek,DetourPriority_L,TravelTimeLoss_Ck_Path1,TravelTimeLoss_Ck_Path2,TravelTimeLoss_Ck_Path3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,Delhi,D78-85,0.3589,0.9269,8.3463,12.8421,2.9951,1.6366,-1.3585,1.3585,1,1.3,0.8,0,0.0,0.6058,80.156,101.261,104.082,0,58,0,3,767.887,211.559,24.22
2,Delhi,D45-52,0.3453,0.952,8.5475,13.1093,2.9518,1.716,-1.2358,1.2358,1,1.3,0.8,0,0.0,0.4563,91.532,95.223,100.678,0,115,0,6,769.122,206.085,48.108
3,Delhi,D31-37,0.4464,0.8599,7.2002,13.4727,3.2139,1.593,-1.6209,1.6209,1,1.3,0.8,0,0.0,0.1868,101.745,127.454,126.869,0,180,0,11,810.765,259.042,74.286
4,Delhi,D19-24,0.3778,0.947,8.0666,13.1513,3.0476,1.7125,-1.335,1.335,1,1.3,0.8,0,0.0,0.2105,80.626,101.808,137.611,0,240,0,15,747.218,215.264,98.969
5,Delhi,D19-24,0.3784,0.947,8.0117,13.1513,3.0318,1.7125,-1.3193,1.3193,1,1.3,0.8,0,0.0,0.2105,81.944,103.873,139.21,0,300,0,19,787.719,223.951,123.725
6,Delhi,D70-78,0.4622,0.928,6.9563,14.2374,3.2153,1.8166,-1.3986,1.3986,1,1.3,0.8,0,0.0,0.2967,96.37,126.045,147.59,0,366,0,24,818.848,268.165,150.303
7,Delhi,D31-37,0.4221,0.8599,7.8923,13.4727,3.3311,1.593,-1.7381,1.7381,1,1.3,0.8,0,0.0,0.1868,105.537,112.502,115.019,0,429,0,28,762.624,237.032,175.47
8,Delhi,D24-31,0.4657,0.9101,6.6869,14.0529,3.114,1.7585,-1.3555,1.3555,1,1.3,0.8,0,0.0,0.8393,108.47,116.573,126.862,0,496,0,33,804.926,266.163,202.406
9,Delhi,D61-70,0.4053,0.8795,8.0146,15.2472,3.2485,1.8439,-1.4046,1.4046,1,1.3,0.8,0,0.0,0.46,85.596,111.746,113.58,0,558,0,37,801.183,238.606,227.319
10,Delhi,D12-19,0.4517,0.9978,7.8146,14.5748,3.5296,1.9996,-1.53,1.53,1,1.3,0.8,0,0.0,0.2722,105.403,124.571,146.138,0,624,0,42,798.92,258.467,252.761
11,Delhi,D19-24,0.4089,0.947,7.7033,13.1513,3.1502,1.7125,-1.4377,1.4377,1,1.3,0.8,0,0.0,0.2105,85.968,123.177,129.806,0,686,0,46,797.364,239.343,278.086
12,Delhi,D24-31,0.3845,0.9101,7.7997,14.0529,2.9988,1.7585,-1.2403,1.2403,1,1.3,0.8,0,0.0,0.8393,98.695,98.255,118.17,0,746,0,50,765.732,221.922,303.143
13,Delhi,D52-61,0.4189,0.9298,8.2573,14.9022,3.459,1.9052,-1.5538,1.5538,1,1.3,0.8,0,0.0,0.1571,101.474,117.235,129.219,0,809,0,54,774.207,238.372,327.835
14,Delhi,D24-31,0.3752,0.9101,8.7937,14.0529,3.2995,1.7585,-1.541,1.541,1,1.3,0.8,0,0.0,0.8393,83.588,107.521,109.133,0,869,0,58,742.143,213.155,351.594
15,Delhi,D45-52,0.4075,0.952,7.2486,13.1093,2.9535,1.716,-1.2375,1.2375,1,1.3,0.8,0,0.0,0.4563,101.151,110.775,120.974,0,931,0,62,751.215,228.346,377.478
16,Delhi,D24-31,0.4547,0.9101,7.2909,14.0529,3.3151,1.7585,-1.5566,1.5566,1,1.3,0.8,0,0.0,0.8393,105.962,125.504,150.643,0,997,0,67,796.306,259.14,403.592
17,Delhi,D45-52,0.3805,0.952,8.2188,13.1093,3.127,1.716,-1.4109,1.4109,1,1.3,0.8,0,0.0,0.4563,81.062,110.601,134.305,0,1057,0,71,762.776,219.616,428.102
18,Delhi,D24-31,0.3986,0.9101,7.6303,14.0529,3.0416,1.7585,-1.2831,1.2831,1,1.3,0.8,0,0.0,0.8393,86.877,112.509,139.771,0,1118,0,75,759.671,226.554,453.455
19,Delhi,D45-52,0.4544,0.952,6.7332,13.1093,3.0597,1.716,-1.3437,1.3437,1,1.3,0.8,0,0.0,0.4563,95.245,120.133,155.559,0,1184,0,80,781.192,255.246,480.266
20,Delhi,D12-19,0.3871,0.9978,8.9606,14.5748,3.4686,1.9996,-1.469,1.469,1,1.3,0.8,0,0.0,0.2722,86.147,114.098,113.292,0,1244,0,84,742.195,218.015,503.887
21,Delhi,D45-52,0.4206,0.952,7.7386,13.1093,3.2549,1.716,-1.5389,1.5389,1,1.3,0.8,0,0.0,0.4563,101.818,110.869,138.462,0,1307,0,88,779.97,240.435,529.238
22,Delhi,D70-78,0.3961,0.928,7.7357,14.2374,3.0641,1.8166,-1.2474,1.2474,1,1.3,0.8,0,0.0,0.2967,98.136,101.195,142.238,0,1368,0,92,741.97,221.641,554.445
23,Delhi,D45-52,0.4342,0.952,6.5591,13.1093,2.848,1.716,-1.132,1.132,1,1.3,0.8,0,0.0,0.4563,105.295,121.846,124.49,0,1432,0,97,764.394,242.546,581.351
24,Delhi,D37-45,0.4924,0.9883,6.528,14.982,3.2144,2.036,-1.1784,1.1784,1,1.3,0.8,0,0.0,0.8588,116.235,131.313,151.711,0,1501,0,103,830.107,284.807,608.645
25,Delhi,D37-45,0.4582,0.9883,7.1818,14.982,3.2909,2.036,-1.255,1.255,1,1.3,0.8,0,0.0,0.8588,100.554,129.229,142.378,0,1567,0,108,776.112,255.604,634.918
26,Delhi,D24-31,0.4113,0.9101,8.2239,14.0529,3.3824,1.7585,-1.6239,1.6239,1,1.3,0.8,0,0.0,0.8393,95.183,105.226,148.668,0,1629,0,112,762.629,232.514,659.606
27,Delhi,D19-24,0.4182,0.947,7.2769,13.1513,3.0431,1.7125,-1.3306,1.3306,1,1.3,0.8,0,0.0,0.2105,103.9,120.515,143.82,0,1692,0,116,793.067,242.407,685.519
28,Delhi,D24-31,0.4944,0.9101,6.4486,14.0529,3.1882,1.7585,-1.4297,1.4297,1,1.3,0.8,0,0.0,0.8393,107.988,133.487,131.195,0,1761,0,122,842.342,289.051,712.924
29,Delhi,D45-52,0.3954,0.952,7.281,13.1093,2.8786,1.716,-1.1626,1.1626,1,1.3,0.8,0,0.0,0.4563,84.218,121.008,114.725,0,1822,0,126,759.726,225.197,738.695
30,Delhi,D24-31,0.4763,0.9101,6.4277,14.0529,3.0618,1.7585,-1.3033,1.3033,1,1.3,0.8,0,0.0,0.8393,107.144,117.199,158.774,0,1890,0,131,787.254,266.253,766.018
31,Delhi,D24-31,0.3952,0.9101,8.5215,14.0529,3.3675,1.7585,-1.609,1.609,1,1.3,0.8,0,0.0,0.8393,93.421,105.16,124.404,0,1951,0,135,777.173,228.918,790.238
32,Delhi,D24-31,0.4805,0.9101,6.2135,14.0529,2.9857,1.7585,-1.2272,1.2272,1,1.3,0.8,0,0.0,0.8393,115.764,118.761,159.546,0,2019,0,140,808.729,273.736,817.854
33,Delhi,D31-37,0.4728,0.8599,6.2865,13.4727,2.9722,1.593,-1.3792,1.3792,1,1.3,0.8,0,0.0,0.1868,107.672,130.564,158.061,0,2086,0,145,842.412,279.055,845.332
34,Delhi,D78-85,0.446,0.9269,7.1842,12.8421,3.2043,1.6366,-1.5677,1.5677,1,1.3,0.8,0,0.0,0.6058,102.562,129.957,146.878,0,2151,0,150,769.483,248.764,871.528
35,Delhi,D45-52,0.4556,0.952,6.8939,13.1093,3.1409,1.716,-1.4249,1.4249,1,1.3,0.8,0,0.0,0.4563,97.514,119.096,149.727,0,2217,0,155,818.327,265.063,898.145
36,Delhi,D78-85,0.4146,0.9269,6.7154,12.8421,2.7844,1.6366,-1.1478,1.1478,1,1.3,0.8,0,0.0,0.6058,104.522,114.716,132.33,0,2280,0,159,757.244,232.686,924.738
37,Delhi,D37-45,0.4097,0.9883,7.776,14.982,3.1856,2.036,-1.1496,1.1496,1,1.3,0.8,0,0.0,0.8588,91.195,113.979,114.908,0,2342,0,163,763.346,231.995,949.976
38,Delhi,D70-78,0.4213,0.928,8.2983,14.2374,3.4962,1.8166,-1.6795,1.6795,1,1.3,0.8,0,0.0,0.2967,100.33,114.329,118.153,0,2405,0,167,761.513,236.459,974.631
39,Delhi,D31-37,0.4132,0.8599,7.6867,13.4727,3.1763,1.593,-1.5833,1.5833,1,1.3,0.8,0,0.0,0.1868,99.097,107.923,121.257,0,2468,0,171,773.693,235.838,1000.002
40,Delhi,D45-52,0.4535,0.952,6.7323,13.1093,3.0532,1.716,-1.3372,1.3372,1,1.3,0.8,0,0.0,0.4563,103.7,125.703,120.626,0,2534,0,176,797.294,258.873,1026.808
41,Delhi,D45-52,0.403,0.952,7.923,13.1093,3.1933,1.716,-1.4773,1.4773,1,1.3,0.8,0,0.0,0.4563,97.723,122.446,112.391,0,2596,0,180,781.445,233.224,1051.822
42,Delhi,D78-85,0.4338,0.9269,7.3818,12.8421,3.2019,1.6366,-1.5652,1.5652,1,1.3,0.8,0,0.0,0.6058,96.223,116.376,145.274,0,2660,0,184,773.046,244.421,1077.698
43,Delhi,D45-52,0.5041,0.952,6.3487,13.1093,3.2001,1.716,-1.4841,1.4841,1,1.3,0.8,0,0.0,0.4563,103.264,125.805,163.821,0,2730,0,190,851.883,296.17,1105.286
44,Delhi,D19-24,0.4873,0.947,6.448,13.1513,3.1418,1.7125,-1.4293,1.4293,1,1.3,0.8,0,0.0,0.2105,112.519,126.743,152.966,0,2798,0,195,796.319,273.405,1132.65
45,Delhi,D12-19,0.4139,0.9978,8.246,14.5748,3.413,1.9996,-1.4134,1.4134,1,1.3,0.8,0,0.0,0.2722,98.309,102.677,129.822,0,2861,0,199,793.891,240.726,1157.325
46,Delhi,D70-78,0.4786,0.928,6.5848,14.2374,3.1517,1.8166,-1.335,1.335,1,1.3,0.8,0,0.0,0.2967,98.242,131.889,133.03,0,2929,0,204,788.907,267.678,1184.466
47,Delhi,D24-31,0.4599,0.9101,7.1367,14.0529,3.2822,1.7585,-1.5237,1.5237,1,1.3,0.8,0,0.0,0.8393,109.05,124.574,156.33,0,2995,0,209,824.254,268.493,1210.805
48,Delhi,D24-31,0.438,0.9101,7.2521,14.0529,3.1765,1.7585,-1.418,1.418,1,1.3,0.8,0,0.0,0.8393,96.185,109.19,149.663,0,3060,0,214,823.067,258.284,1236.868
49,Delhi,D24-31,0.468,0.9101,7.3272,14.0529,3.4292,1.7585,-1.6707,1.6707,1,1.3,0.8,0,0.0,0.8393,113.599,130.179,146.919,0,3127,0,219,807.728,267.915,1263.017
50,Delhi,D61-70,0.4443,0.8795,8.1353,15.2472,3.6148,1.8439,-1.7708,1.7708,1,1.3,0.8,0,0.0,0.46,108.568,111.746,152.91,0,3192,0,224,771.815,248.62,1288.014
51,Delhi,D37-45,0.4246,0.9883,8.0565,14.982,3.421,2.036,-1.385,1.385,1,1.3,0.8,0,0.0,0.8588,97.018,123.607,139.278,0,3255,0,228,804.974,247.998,1312.991
52,Delhi,D12-19,0.5268,0.9978,6.1367,14.5748,3.2325,1.9996,-1.2329,1.2329,1,1.3,0.8,0,0.0,0.2722,113.797,124.264,168.62,0,3327,0,234,866.089,310.918,1340.981
53,Delhi,D78-85,0.4531,0.9269,6.2038,12.8421,2.811,1.6366,-1.1743,1.1743,1,1.3,0.8,0,0.0,0.6058,95.597,126.894,145.432,0,3393,0,239,792.652,257.534,1368.444
54,Delhi,D61-70,0.4817,0.8795,7.728,15.2472,3.7225,1.8439,-1.8785,1.8785,1,1.3,0.8,0,0.0,0.46,103.969,118.294,132.736,0,3461,0,244,821.506,277.64,1394.175
55,Delhi,D24-31,0.4599,0.9101,7.249,14.0529,3.3339,1.7585,-1.5754,1.5754,1,1.3,0.8,0,0.0,0.8393,108.419,119.633,129.973,0,3527,0,249,824.106,268.461,1420.373
56,Delhi,D31-37,0.4776,0.8599,6.7641,13.4727,3.2303,1.593,-1.6373,1.6373,1,1.3,0.8,0,0.0,0.1868,98.553,127.51,126.407,0,3595,0,254,816.738,274.524,1447.283
57,Delhi,D31-37,0.5021,0.8599,6.4225,13.4727,3.2249,1.593,-1.632,1.632,1,1.3,0.8,0,0.0,0.1868,120.328,121.566,135.109,0,3665,0,260,851.194,295.076,1474.768
58,Delhi,D37-45,0.4977,0.9883,6.9575,14.982,3.4628,2.036,-1.4268,1.4268,1,1.3,0.8,0,0.0,0.8588,113.812,125.019,128.515,0,3734,0,266,831.746,287.682,1501.557
59,Delhi,D61-70,0.476,0.8795,6.8349,15.2472,3.2532,1.8439,-1.4092,1.4092,1,1.3,0.8,0,0.0,0.46,108.481,124.293,152.844,0,3802,0,271,804.631,270.636,1528.369
60,Delhi,D31-37,0.4692,0.8599,6.6,13.4727,3.0968,1.593,-1.5039,1.5039,1,1.3,0.8,0,0.0,0.1868,101.016,117.397,129.505,0,3869,0,276,791.704,264.316,1555.435
61,Delhi,D19-24,0.5025,0.947,5.7607,13.1513,2.8949,1.7125,-1.1823,1.1823,1,1.3,0.8,0,0.0,0.2105,110.089,134.038,151.209,0,3939,0,282,813.208,284.762,1583.749
62,Delhi,D61-70,0.4491,0.8795,7.7714,15.2472,3.4905,1.8439,-1.6466,1.6466,1,1.3,0.8,0,0.0,0.46,101.632,119.223,154.453,0,4004,0,287,781.759,253.12,1609.23
63,Delhi,D78-85,0.477,0.9269,6.4171,12.8421,3.0607,1.6366,-1.4241,1.4241,1,1.3,0.8,0,0.0,0.6058,105.461,123.775,135.048,0,4072,0,292,814.124,273.566,1636.57
64,Delhi,D70-78,0.485,0.928,7.0226,14.2374,3.4061,1.8166,-1.5895,1.5895,1,1.3,0.8,0,0.0,0.2967,115.91,132.753,162.001,0,4140,0,297,807.648,275.451,1663.202
65,Delhi,D78-85,0.4509,0.9269,6.7636,12.8421,3.0497,1.6366,-1.413,1.413,1,1.3,0.8,0,0.0,0.6058,109.15,118.901,124.715,0,4206,0,302,830.053,265.847,1689.953
66,Delhi,D61-70,0.4366,0.8795,8.1588,15.2472,3.562,1.8439,-1.718,1.718,1,1.3,0.8,0,0.0,0.46,97.066,117.676,117.229,0,4270,0,307,808.097,254.038,1714.874
67,Delhi,D37-45,0.4944,0.9883,6.6795,14.982,3.3024,2.036,-1.2664,1.2664,1,1.3,0.8,0,0.0,0.8588,116.216,119.086,157.946,0,4339,0,313,837.942,287.852,1741.991
68,Delhi,D78-85,0.4744,0.9269,6.199,12.8421,2.9407,1.6366,-1.3041,1.3041,1,1.3,0.8,0,0.0,0.6058,111.333,129.736,131.731,0,4406,0,318,810.732,271.532,1769.588
69,Delhi,D31-37,0.4537,0.8599,6.5814,13.4727,2.9857,1.593,-1.3927,1.3927,1,1.3,0.8,0,0.0,0.1868,110.742,130.634,138.649,0,4472,0,323,794.81,258.312,1796.583
70,Delhi,D61-70,0.4551,0.8795,7.4494,15.2472,3.3904,1.8439,-1.5464,1.5464,1,1.3,0.8,0,0.0,0.46,96.244,128.914,156.033,0,4538,0,328,775.326,254.076,1822.502
71,Delhi,D78-85,0.5074,0.9269,5.8739,12.8421,2.9801,1.6366,-1.3435,1.3435,1,1.3,0.8,0,0.0,0.6058,108.09,127.318,153.344,0,4608,0,334,830.22,291.668,1850.704
72,Delhi,D12-19,0.447,0.9978,8.0792,14.5748,3.6113,1.9996,-1.6116,1.6116,1,1.3,0.8,0,0.0,0.2722,106.919,112.875,132.018,0,4673,0,339,828.091,263.578,1875.787
73,Delhi,D52-61,0.4816,0.9298,7.247,14.9022,3.4902,1.9052,-1.585,1.585,1,1.3,0.8,0,0.0,0.1571,103.11,126.168,125.64,0,4741,0,344,816.341,276.235,1902.118
74,Delhi,D37-45,0.4518,0.9883,7.5965,14.982,3.4321,2.036,-1.3961,1.3961,1,1.3,0.8,0,0.0,0.8588,103.117,127.689,126.11,0,4807,0,349,796.777,257.991,1927.833
75,Delhi,D19-24,0.4614,0.947,6.15,13.1513,2.8377,1.7125,-1.1252,1.1252,1,1.3,0.8,0,0.0,0.2105,103.192,128.588,155.809,0,4873,0,354,812.304,266.149,1955.414
76,Delhi,D31-37,0.5373,0.8599,5.6169,13.4727,3.0177,1.593,-1.4248,1.4248,1,1.3,0.8,0,0.0,0.1868,115.756,141.03,139.094,0,4945,0,360,842.939,309.083,1984.117
