# FCR baseline synthetic trace (formula-consistent template)
# Scenario=Manhattan | Seed=803 | Duration=3600s | UpdateInterval=300s | α=0.8 | β=1.3 | δ=0.5
# Generated=2026-02-14T11:34:25.920503Z
"# NOTE: This is a synthetic, equation-constrained trace for comparison formatting. Use real simulator outputs for publication claims."

Time(s),Scenario,SegmentID,K_t (density),K_max,v_t (m/s),v_max (m/s),F_t (flow),F_cap (capacity),ResidualCap,F_exc (excess),Congested(0/1),CongestionExpansion_beta,Compliance_alpha,UpdateStep(0/1),ReroutedVolume_Ek,DetourPriority_L,TravelTimeLoss_Ck_Path1,TravelTimeLoss_Ck_Path2,TravelTimeLoss_Ck_Path3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,Manhattan,M52-61,0.3675,0.9403,8.6985,15.1964,3.1966,1.7862,-1.4104,1.4104,1,1.3,0.8,0,0.0,0.3513,94.85,97.12,124.35,0,59,0,3,757.879,213.181,23.832
2,Manhattan,M52-61,0.3808,0.9403,8.5346,15.1964,3.2499,1.7862,-1.4636,1.4636,1,1.3,0.8,0,0.0,0.3513,84.974,108.836,141.285,0,119,0,7,738.989,214.768,47.948
3,Manhattan,M52-61,0.3825,0.9403,8.8141,15.1964,3.3712,1.7862,-1.585,1.585,1,1.3,0.8,0,0.0,0.3513,89.457,103.265,117.252,0,179,0,11,751.07,217.999,71.726
4,Manhattan,M37-45,0.3545,0.9972,10.3472,16.6353,3.6681,2.0737,-1.5944,1.5944,1,1.3,0.8,0,0.0,0.3087,92.346,99.945,107.216,0,237,0,14,774.692,211.047,93.419
5,Manhattan,M45-52,0.4243,0.886,8.4838,16.0365,3.5999,1.7761,-1.8238,1.8238,1,1.3,0.8,0,0.0,0.9687,102.1,121.624,150.512,0,300,0,18,806.995,248.333,117.86
6,Manhattan,M24-31,0.4584,0.911,9.0741,18.6291,4.1595,2.1214,-2.0381,2.0381,1,1.3,0.8,0,0.0,0.4594,107.76,114.601,124.513,0,366,0,23,779.872,256.617,141.767
7,Manhattan,M52-61,0.3969,0.9403,9.245,15.1964,3.6693,1.7862,-1.8831,1.8831,1,1.3,0.8,0,0.0,0.3513,97.732,105.164,114.778,0,427,0,27,742.774,222.144,165.093
8,Manhattan,M45-52,0.4232,0.886,9.1938,16.0365,3.8909,1.7761,-2.1148,2.1148,1,1.3,0.8,0,0.0,0.9687,97.761,116.895,120.516,0,490,0,31,756.393,236.062,188.639
9,Manhattan,M24-31,0.4147,0.911,9.957,18.6291,4.1292,2.1214,-2.0077,2.0077,1,1.3,0.8,0,0.0,0.4594,100.175,114.033,124.831,0,553,0,35,797.532,241.904,211.181
10,Manhattan,M70-78,0.4534,0.8518,8.8384,17.9577,4.007,1.912,-2.095,2.095,1,1.3,0.8,0,0.0,0.1156,103.282,127.487,153.511,0,619,0,40,810.348,262.06,235.354
11,Manhattan,M31-37,0.3953,0.8869,9.8102,17.007,3.8783,1.8855,-1.9928,1.9928,1,1.3,0.8,0,0.0,0.7566,99.789,120.742,139.52,0,680,0,44,783.01,230.251,257.963
12,Manhattan,M31-37,0.4497,0.8869,8.1879,17.007,3.6823,1.8855,-1.7968,1.7968,1,1.3,0.8,0,0.0,0.7566,94.397,127.9,137.385,0,745,0,49,796.077,256.907,282.926
13,Manhattan,M19-24,0.4691,0.9232,7.8688,17.1491,3.6912,1.9791,-1.7121,1.7121,1,1.3,0.8,0,0.0,0.2438,109.791,114.777,138.36,0,812,0,54,824.623,272.757,308.405
14,Manhattan,M24-31,0.3641,0.911,11.0156,18.6291,4.0104,2.1214,-1.889,1.889,1,1.3,0.8,0,0.0,0.4594,95.016,104.771,139.419,0,871,0,57,757.443,211.669,329.32
