# ICDDR Delhi Scenario Trace (Formula-Aligned Synthetic Dataset)
# Seed=504 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:03:25.433433Z

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,Relevance_R,rho,gamma,SuitabilityIndex_Si,w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,1280,D47-58,220,12,31,16.982,9.85,0.58,0.387,0.39,0,2,0.257,0.68,0.32,0.345,20.7455,24.9259,0.2015,1,0,289.528,329.98,357.574,73,0,5,627.284,277.614,12.918
2,1,1344,D26-35,220,11,31,15.019,9.797,0.652,0.355,0.354,0,2,0.471,0.64,0.36,0.49,39.1688,26.8879,0.3135,1,0,286.813,327.604,321.56,143,0,9,617.994,269.524,25.712
3,1,1347,D77-86,220,13,31,13.975,7.854,0.562,0.419,0.421,0,3,0.223,0.694,0.306,0.334,35.631,31.7135,0.1099,0,0,354.33,397.174,418.954,219,0,15,695.638,306.376,41.417
4,1,1230,D35-47,340,19,49,17.326,10.157,0.586,0.388,0.39,0,2,0.326,0.669,0.331,0.426,37.5772,37.7933,0.0058,0,0,291.545,324.773,362.623,292,0,20,653.469,286.877,53.94
5,1,1242,D47-58,460,27,66,15.031,8.173,0.544,0.409,0.414,0,3,0.48,0.684,0.316,0.433,24.9259,60.7643,1.4378,1,0,349.254,383.707,416.259,367,0,26,657.288,291.414,69.169
6,1,1372,D18-26,420,28,60,13.71,7.199,0.525,0.467,0.467,0,3,0.02,0.684,0.316,0.272,32.126,65.8968,1.0512,1,0,334.948,369.88,397.251,448,0,33,710.552,318.693,86.011
7,1,1143,D77-86,220,14,31,16.54,8.185,0.495,0.452,0.457,0,3,0.318,0.711,0.289,0.481,35.631,28.0283,0.2134,1,0,343.911,384.376,421.619,528,0,40,701.828,313.382,101.481
8,1,1359,D94-105,300,18,43,13.212,6.828,0.517,0.419,0.425,0,3,0.408,0.695,0.305,0.526,44.4084,45.6961,0.029,0,0,299.604,331.104,336.874,604,0,46,659.195,293.509,118.516
9,1,1200,D35-47,340,21,49,11.67,6.221,0.533,0.429,0.432,0,3,0.25,0.683,0.317,0.354,37.5772,59.4602,0.5824,1,0,345.449,376.809,397.982,681,0,52,679.016,301.941,136.4
10,1,1374,D26-35,340,22,49,14.541,7.866,0.541,0.449,0.45,0,3,0.354,0.702,0.298,0.462,26.8879,49.0922,0.8258,1,0,330.502,379.474,406.04,760,0,59,717.163,318.354,152.268
11,1,1246,D18-26,380,25,54,15.845,7.833,0.494,0.463,0.467,0,3,0.263,0.678,0.322,0.296,65.8968,51.3289,0.2211,1,0,343.333,378.587,394.199,841,0,66,677.968,306.733,168.263
12,1,1280,D94-105,460,29,66,15.64,8.49,0.543,0.439,0.441,0,3,0.134,0.677,0.323,0.347,44.4084,60.9382,0.3722,1,0,326.293,364.585,370.247,919,0,72,678.639,303.433,183.261
13,1,1035,D26-35,300,20,43,14.275,6.874,0.482,0.465,0.47,0,3,0.125,0.672,0.328,0.404,49.0922,45.1118,0.0811,0,0,362.12,408.315,409.595,1000,0,79,694.104,312.704,200.516
14,1,1042,D26-35,380,21,54,12.791,7.752,0.606,0.389,0.389,0,2,0.214,0.677,0.323,0.259,49.0922,57.308,0.1674,0,0,296.387,323.939,341.5,1073,0,84,655.728,287.838,216.172
15,1,1178,D77-86,260,15,37,13.253,7.445,0.562,0.405,0.409,0,3,0.204,0.703,0.297,0.311,28.0283,38.7479,0.3825,1,0,341.882,386.737,403.506,1148,0,90,656.316,290.521,232.325
16,1,1212,D58-69,260,17,37,14.54,7.656,0.527,0.459,0.461,0,3,0.472,0.685,0.315,0.418,19.5665,38.0892,0.9467,1,0,342.42,392.324,404.139,1228,0,97,687.188,309.435,248.529
17,1,1165,D58-69,260,15,37,13.894,7.603,0.547,0.405,0.41,0,3,0.371,0.677,0.323,0.503,38.0892,36.9612,0.0296,0,0,347.422,393.984,389.015,1303,0,103,655.349,290.183,264.478
18,1,1334,D58-69,220,12,31,15.934,9.094,0.571,0.387,0.391,0,2,0.251,0.662,0.338,0.313,38.0892,26.5647,0.3026,1,0,342.646,371.174,394.556,1376,0,108,630.069,278.589,278.378
19,1,1238,D94-105,380,25,54,15.157,7.59,0.501,0.463,0.467,0,3,0.033,0.664,0.336,0.319,60.9382,53.6592,0.1194,0,0,342.445,376.697,385.792,1457,0,115,672.138,304.693,294.688
20,1,1236,D47-58,380,22,54,15.509,8.979,0.579,0.407,0.409,0,3,0.015,0.699,0.301,0.275,60.7643,48.5329,0.2013,1,0,292.594,339.615,340.889,1532,0,121,646.925,287.535,308.861
21,1,1387,D58-69,340,19,49,13.806,8.061,0.584,0.388,0.391,0,2,0.013,0.671,0.329,0.196,26.5647,47.4287,0.7854,1,0,321.062,366.201,400.555,1605,0,126,651.551,286.206,324.108
22,1,1247,D58-69,220,13,31,17.999,9.992,0.555,0.419,0.422,0,3,0.237,0.678,0.322,0.227,47.4287,24.6234,0.4808,1,0,352.461,400.157,400.939,1681,0,132,674.934,299.13,337.035
23,1,1031,D58-69,420,24,60,15.195,8.646,0.569,0.4,0.403,0,3,0.427,0.7,0.3,0.427,24.6234,54.1765,1.2002,1,0,293.926,325.032,325.859,1756,0,138,636.349,282.722,351.595
24,1,1092,D10-18,340,21,49,14.949,7.526,0.503,0.429,0.435,0,3,0.215,0.667,0.333,0.283,28.8876,46.4178,0.6068,1,0,307.037,346.693,374.584,1833,0,144,668.337,298.204,367.782
25,1,1273,D77-86,300,17,43,15.03,8.436,0.561,0.395,0.4,0,2,0.061,0.687,0.313,0.344,38.7479,38.8624,0.003,0,0,334.736,357.94,371.18,1907,0,149,631.442,280.307,382.587
26,1,1250,D58-69,260,17,37,13.596,6.89,0.507,0.459,0.463,0,3,0.002,0.687,0.313,0.169,54.1765,40.7322,0.2482,1,0,354.096,385.807,423.015,1987,0,156,674.173,304.879,399.787
27,1,1272,D69-77,260,14,37,14.648,8.728,0.596,0.378,0.381,0,2,0.323,0.669,0.331,0.461,37.3729,33.7237,0.0976,0,0,295.142,338.533,369.164,2059,0,161,662.083,288.486,414.111
28,1,1361,D77-86,260,17,37,15.546,7.647,0.492,0.459,0.464,0,3,0.281,0.699,0.301,0.364,38.7479,35.6241,0.0806,0,0,351.577,393.647,410.921,2139,0,168,690.482,310.588,430.327
29,1,1181,D69-77,460,31,66,16.873,7.747,0.459,0.47,0.477,0,3,0.434,0.704,0.296,0.409,37.3729,58.8874,0.5757,1,0,357.879,390.177,408.48,2220,0,175,700.763,315.721,446.474
30,1,1229,D69-77,260,15,37,12.766,7.13,0.558,0.405,0.409,0,3,0.224,0.696,0.304,0.217,58.8874,40.2265,0.3169,1,0,327.824,350.267,386.331,2295,0,181,688.448,301.768,463.038
31,1,1069,D10-18,300,17,43,14.806,8.415,0.568,0.395,0.399,0,2,0.378,0.694,0.306,0.496,46.4178,39.4499,0.1501,0,0,306.695,326.359,338.22,2369,0,186,682.287,298.103,477.87
32,1,1349,D86-94,340,19,49,14.573,8.454,0.58,0.388,0.391,0,2,0.499,0.669,0.331,0.577,33.4613,44.9334,0.3428,1,0,317.511,337.842,367.236,2442,0,191,668.393,292.101,492.606
33,1,1088,D58-69,220,15,31,15.767,7.426,0.471,0.484,0.488,0,3,0.064,0.651,0.349,0.256,40.7322,30.7229,0.2457,1,0,350.039,380.167,394.546,2525,0,199,687.908,313.348,509.255
34,1,1297,D35-47,420,30,60,15.099,6.353,0.421,0.5,0.508,0,3,0.365,0.692,0.308,0.514,59.4602,62.5879,0.0526,0,0,353.103,394.377,421.616,2610,0,207,714.07,324.925,527.397
35,1,1206,D47-58,260,18,37,15.304,7.182,0.469,0.486,0.491,0,3,0.041,0.697,0.303,0.317,48.5329,37.5409,0.2265,1,0,344.643,368.756,409.352,2693,0,215,705.876,320.03,544.379
36,1,1082,D10-18,340,24,49,13.26,6.517,0.491,0.49,0.492,0,3,0.318,0.687,0.313,0.406,46.4178,56.9112,0.2261,1,0,317.138,355.863,390.612,2776,0,223,730.111,329.008,562.246
37,1,1164,D10-18,460,26,66,16.378,9.581,0.585,0.394,0.396,0,2,0.386,0.659,0.341,0.443,56.9112,54.5754,0.041,0,0,328.503,363.34,402.799,2850,0,228,656.6,288.901,575.555
38,1,1242,D69-77,300,21,43,14.572,7.05,0.484,0.488,0.491,0,3,0.333,0.688,0.312,0.455,40.2265,45.6055,0.1337,0,0,365.679,398.376,434.892,2933,0,236,736.048,330.873,592.72
39,1,1174,D47-58,340,25,49,15.903,7.062,0.444,0.51,0.515,0,3,0.406,0.667,0.333,0.589,37.5409,48.7617,0.2989,1,0,326.501,358.862,377.285,3019,0,244,727.657,331.211,610.0
40,1,1168,D47-58,300,22,43,15.252,6.709,0.44,0.512,0.516,0,3,0.125,0.724,0.276,0.197,48.7617,44.9463,0.0782,0,0,380.314,404.169,433.942,3105,0,252,713.432,326.445,627.749
41,1,1278,D26-35,220,14,31,12.539,6.429,0.513,0.452,0.455,0,3,0.399,0.666,0.334,0.551,49.0922,36.9705,0.2469,1,0,326.628,350.576,387.033,3185,0,259,712.371,317.072,645.501
42,1,1125,D26-35,380,26,54,14.192,6.342,0.447,0.481,0.489,0,3,0.338,0.663,0.337,0.336,36.9705,58.7669,0.5896,1,0,359.61,398.352,426.609,3268,0,266,688.821,313.309,663.546
43,1,1384,D58-69,300,21,43,16.571,7.497,0.452,0.488,0.494,0,3,0.199,0.704,0.296,0.38,30.7229,40.1057,0.3054,1,0,339.409,382.014,369.602,3351,0,274,694.072,316.181,680.13
44,1,1355,D47-58,260,16,37,15.523,7.948,0.512,0.432,0.438,0,3,0.489,0.669,0.331,0.615,48.7617,34.3676,0.2952,1,0,312.966,357.913,371.475,3429,0,280,657.378,294.947,695.792
45,1,1010,D47-58,300,17,43,14.023,7.75,0.553,0.395,0.401,0,3,0.045,0.701,0.299,0.233,34.3676,41.6528,0.212,1,0,317.247,338.881,382.794,3503,0,285,659.642,290.177,711.489
46,1,1136,D58-69,300,19,43,16.224,8.168,0.503,0.442,0.447,0,3,0.015,0.668,0.332,0.1,40.1057,38.4422,0.0415,0,0,345.814,375.575,379.065,3582,0,291,656.804,296.16,726.921
47,1,1120,D35-47,220,13,31,18.986,10.321,0.544,0.419,0.423,0,3,0.046,0.666,0.334,0.303,59.4602,23.3441,0.6074,1,0,300.019,329.399,349.692,3658,0,297,694.472,305.968,739.42
48,1,1321,D47-58,260,18,37,16.222,7.327,0.452,0.486,0.493,0,3,0.087,0.716,0.284,0.145,41.6528,35.4158,0.1497,0,0,372.814,408.057,411.783,3741,0,305,726.091,327.105,756.214
49,1,1289,D58-69,300,18,43,16.081,8.367,0.52,0.419,0.425,0,3,0.178,0.691,0.309,0.424,40.1057,37.5442,0.0639,0,0,317.981,367.795,375.486,3817,0,311,656.327,292.505,771.249
50,1,1353,D47-58,260,19,37,14.949,6.298,0.421,0.514,0.52,0,3,0.14,0.721,0.279,0.277,41.6528,39.8424,0.0435,0,0,338.754,376.007,411.308,3903,0,319,727.195,331.545,789.542
51,1,1345,D86-94,420,28,60,13.14,6.116,0.465,0.467,0.473,0,3,0.186,0.65,0.35,0.453,44.9334,68.7546,0.5301,1,0,314.644,352.612,385.431,3984,0,326,699.05,314.668,807.792
52,1,1343,D18-26,220,14,31,13.979,6.936,0.496,0.452,0.457,0,3,0.225,0.675,0.325,0.283,51.3289,33.1627,0.3539,1,0,345.421,390.602,416.645,4064,0,333,678.099,305.077,824.884
53,1,1040,D26-35,420,27,60,14.3,7.091,0.496,0.45,0.455,0,3,0.17,0.684,0.316,0.393,58.7669,61.7534,0.0508,0,0,345.423,386.009,381.722,4144,0,340,701.742,313.11,841.766
54,1,1316,D35-47,220,16,31,16.123,7.137,0.443,0.516,0.52,0,3,0.085,0.648,0.352,0.398,23.3441,31.3655,0.3436,1,0,334.998,380.964,411.271,4230,0,348,728.12,332.261,858.985
55,1,1173,D35-47,420,28,60,15.711,7.745,0.493,0.467,0.471,0,3,0.185,0.707,0.293,0.235,31.3655,57.5048,0.8334,1,0,335.071,358.776,378.486,4311,0,355,678.294,307.403,875.116
56,1,1075,D77-86,300,21,43,11.182,5.048,0.451,0.488,0.494,0,3,0.241,0.673,0.327,0.372,38.7479,59.4347,0.5339,1,0,340.025,368.376,371.439,4394,0,363,687.869,314.01,894.883
57,1,1362,D10-18,340,25,49,16.002,6.615,0.413,0.51,0.518,0,3,0.17,0.693,0.307,0.201,56.9112,48.4595,0.1485,0,0,357.399,398.64,420.87,4480,0,371,705.053,323.299,912.745
58,1,1174,D86-94,460,28,66,13.928,7.754,0.557,0.424,0.426,0,3,0.318,0.669,0.331,0.534,68.7546,66.994,0.0256,0,0,339.939,382.919,370.493,4557,0,377,702.152,309.389,928.61
59,1,1137,D94-105,260,18,37,16.619,7.66,0.461,0.486,0.492,0,3,0.141,0.702,0.298,0.393,60.9382,34.5696,0.4327,1,0,354.259,392.217,426.333,4640,0,385,708.639,320.997,944.971
60,1,1182,D86-94,300,19,43,12.286,6.493,0.528,0.442,0.445,0,3,0.206,0.678,0.322,0.445,68.7546,50.7654,0.2616,1,0,331.324,376.115,384.441,4719,0,391,659.503,297.105,962.581
61,1,1211,D86-94,460,35,66,16.439,7.047,0.429,0.53,0.534,0,3,0.162,0.67,0.33,0.251,50.7654,65.5286,0.2908,1,0,351.456,379.458,422.966,4807,0,400,754.77,343.715,980.003
