# ICDDR paper-aligned synthetic trace (formula-consistent template)
# Generated: 2026-02-14T10:49:20.299281Z
# Scenario: Manhattan | Duration: 3600s | k=3 | w_th=0.2 | λ=0.1 | V2V range=500m | Max hops=4 | RSU interval=1000m
# NOTE: Values are synthetically generated but constrained by the paper’s equations and parameter ranges; replace with real simulator outputs for publication.

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,275,v37-v45,260,12,37,16.747,11.194,0.668,0.324,0.325,0,2,,-0.564,-0.624,2.545,2.612,1.0,0.548,0.592,0.595,0.405,0.177,0.667,0,16.6132,27.2283,0.639,1,0,287.703,300.067,325.896,0,62,1,6,513.263,191.869,10.113
2,1,217,v37-v45,220,12,31,17.484,10.519,0.602,0.387,0.388,0,2,,1.336,-1.349,73.347,1.817,0.907,0.658,0.64,0.641,0.359,0.703,0.834,0,27.2283,24.2096,0.1109,0,0,271.243,300.293,320.279,0,122,2,12,582.56,242.083,21.412
3,1,213,v45-v52,180,9,26,17.724,11.276,0.636,0.346,0.348,0,2,,-1.156,1.772,70.302,4.523,0.391,0.592,0.631,0.619,0.381,0.432,0.406,0,27.678,18.4039,0.3351,1,0,293.505,317.271,330.425,0,178,3,17,544.229,229.992,31.558
4,1,305,v45-v52,300,17,43,17.603,10.787,0.613,0.395,0.395,0,2,,1.444,-1.389,70.455,6.673,0.891,0.664,0.619,0.637,0.363,0.422,0.721,0,18.4039,33.181,0.8029,1,0,294.533,318.575,330.847,0,245,5,24,546.309,237.174,42.586
5,1,237,v45-v52,220,10,31,16.753,11.642,0.695,0.323,0.321,0,2,,0.879,1.888,20.779,4.203,0.115,0.591,0.521,0.603,0.397,0.648,0.327,0,33.181,22.971,0.3077,1,0,283.989,309.219,317.94,0,302,7,28,548.864,228.841,52.151
6,1,266,v61-v70,180,8,26,14.428,10.412,0.722,0.308,0.305,0,2,,-1.042,-1.037,0.156,10.611,0.001,0.536,0.646,0.605,0.395,0.827,0.327,0,10.195,21.335,1.0927,1,0,285.273,311.254,315.932,0,363,8,34,521.384,208.331,63.103
7,1,209,v70-v78,300,16,43,15.258,9.34,0.612,0.372,0.374,0,2,,1.598,-0.194,68.952,6.655,0.883,0.587,0.504,0.583,0.417,0.581,0.757,0,34.1746,37.0167,0.0832,0,0,287.724,297.939,344.576,0,418,8,38,545.01,222.371,75.727
8,1,243,v61-v70,300,16,43,16.286,10.223,0.628,0.372,0.372,0,2,,-1.028,-0.108,39.621,2.12,0.72,0.589,0.632,0.609,0.391,0.393,0.592,0,21.335,34.6791,0.6255,1,0,280.63,316.545,308.068,0,485,8,44,564.899,237.527,87.292
9,1,156,v31-v37,300,14,43,15.509,10.212,0.658,0.326,0.327,0,2,,-1.001,1.693,75.546,4.996,0.92,0.632,0.61,0.64,0.36,0.108,0.627,0,26.3482,33.9907,0.2901,1,0,291.134,326.215,359.739,0,553,9,50,528.584,201.427,98.592
10,1,306,v12-v19,260,13,37,17.638,11.734,0.665,0.351,0.35,0,2,,-0.18,-0.308,6.915,3.783,1.0,0.662,0.611,0.648,0.352,0.735,0.907,0,10.7961,26.919,1.4934,1,0,264.57,283.471,333.162,0,616,11,56,520.561,213.5,108.219
11,1,358,v70-v78,260,12,37,14.36,9.204,0.641,0.324,0.328,0,2,,-1.728,1.447,64.699,3.712,0.859,0.64,0.614,0.645,0.355,0.604,0.769,0,34.1746,31.755,0.0708,0,0,252.4,264.86,306.982,0,676,12,61,537.135,207.085,120.72
12,1,236,v52-v61,260,14,37,16.377,10.372,0.633,0.378,0.377,0,2,,-1.71,-0.167,50.206,6.488,0.279,0.683,0.515,0.631,0.369,0.26,0.272,0,34.2829,30.1636,0.1202,0,0,276.554,314.552,341.193,0,748,13,67,573.444,238.316,132.144
13,1,371,v12-v19,500,25,71,15.231,9.386,0.616,0.352,0.355,0,2,,-1.538,-1.572,0.563,2.069,1.0,0.594,0.621,0.615,0.385,0.735,0.898,0,26.919,60.0164,1.2295,1,0,266.735,295.763,303.615,0,809,15,73,522.714,209.499,144.593
14,1,242,v12-v19,180,9,26,18.982,11.969,0.631,0.346,0.348,0,2,,-0.233,0.823,52.54,10.139,0.292,0.573,0.689,0.62,0.38,0.71,0.451,0,60.0164,17.1837,0.7137,1,0,262.885,273.966,304.5,0,871,15,78,533.233,227.421,153.908
15,1,121,v45-v52,300,17,43,16.141,9.681,0.6,0.395,0.396,0,2,,1.499,1.895,5.894,1.57,1.0,0.689,0.547,0.636,0.364,0.213,0.713,0,22.971,36.1872,0.5753,1,0,302.693,318.005,346.246,0,930,17,85,561.167,235.631,166.262
16,1,228,v37-v45,260,15,37,18.594,11.285,0.607,0.405,0.404,0,3,,-1.11,1.266,80.306,7.822,0.946,0.634,0.659,0.627,0.373,0.274,0.695,0,27.2283,27.619,0.0143,0,0,274.46,290.254,314.232,0,1004,18,93,577.885,234.449,176.753
17,1,375,v45-v52,180,9,26,17.44,11.924,0.684,0.346,0.343,0,2,,-0.938,-1.566,14.274,3.652,0.579,0.63,0.563,0.624,0.376,0.63,0.598,0,36.1872,18.7035,0.4831,1,0,277.38,298.936,328.326,0,1060,18,98,561.279,224.837,186.12
