# ICDDR paper-aligned synthetic trace (formula-consistent template)
# Seed: 303
# Generated: 2026-02-14T10:52:44.250647Z
# Scenario: Manhattan | Duration: 3600s | k=3 | w_th=0.2 | λ=0.1 | V2V range=500m | Max hops=4 | RSU interval=1000m
# NOTE: Values are synthetically generated but constrained by the paper’s equations and parameter ranges; replace with real simulator outputs for publication.

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,120,v31-v37,300,14,43,17.583,12.234,0.696,0.326,0.323,0,2,,0.807,1.309,13.706,7.336,0.076,0.608,0.55,0.616,0.384,0.961,0.416,0,30.8484,29.9805,0.0281,0,0,290.782,322.761,360.647,0,67,2,6,544.893,221.127,8.873
2,1,166,v45-v52,220,11,31,17.829,11.169,0.626,0.355,0.357,0,2,,0.213,1.503,44.322,1.932,0.246,0.667,0.682,0.663,0.337,0.817,0.438,0,18.6973,22.6508,0.2114,1,0,278.749,294.229,345.724,0,120,4,12,531.318,204.993,19.199
3,1,138,v52-v61,180,8,26,17.305,12.23,0.707,0.308,0.306,0,2,,-1.892,1.415,63.113,5.711,0.351,0.556,0.643,0.614,0.386,0.119,0.261,0,10.124,17.7879,0.757,1,0,256.289,281.406,319.73,0,181,6,16,502.7,189.504,27.97
4,1,396,v19-v24,220,11,31,17.549,11.47,0.654,0.355,0.354,0,2,,0.006,1.477,55.544,6.929,0.809,0.657,0.593,0.641,0.359,0.084,0.548,0,10.9657,23.0118,1.0985,1,0,290.94,327.3,335.422,0,237,8,22,564.221,227.055,37.935
5,1,349,v70-v78,220,10,31,16.99,12.04,0.709,0.323,0.319,0,2,,-0.639,-0.921,10.058,2.458,0.556,0.634,0.639,0.648,0.352,0.947,0.694,0,22.3832,22.6508,0.012,0,0,289.963,313.89,351.097,0,287,9,27,519.451,211.696,47.023
6,1,361,v24-v31,500,27,71,16.643,10.583,0.636,0.38,0.379,0,2,,-1.377,0.597,84.866,7.698,0.471,0.667,0.631,0.645,0.355,0.625,0.526,0,34.6475,57.2366,0.652,1,0,283.25,317.132,317.036,0,358,10,33,546.047,224.025,58.205
7,1,307,v45-v52,220,10,31,16.553,10.972,0.663,0.323,0.324,0,2,,1.838,0.909,19.172,0.759,0.107,0.585,0.671,0.63,0.37,0.576,0.28,0,22.6508,23.2489,0.0264,0,0,281.485,318.91,309.673,0,408,12,37,519.188,202.812,68.574
8,1,385,v70-v78,300,15,43,17.26,11.518,0.667,0.349,0.347,0,2,,-1.456,0.999,79.492,0.958,0.942,0.611,0.527,0.606,0.394,0.878,0.916,0,22.3832,31.6225,0.4128,1,0,263.384,296.298,311.856,0,460,14,43,521.455,201.269,78.446
9,1,158,v61-v70,380,20,54,16.59,9.844,0.593,0.37,0.374,0,2,,-0.922,-1.493,13.489,4.153,0.575,0.62,0.653,0.629,0.371,0.088,0.394,0,28.6066,43.014,0.5036,1,0,290.378,307.877,343.572,0,520,16,48,531.027,226.582,90.456
10,1,267,v24-v31,220,12,31,17.724,10.87,0.613,0.387,0.387,0,2,,-1.175,-1.681,9.643,7.326,1.0,0.683,0.622,0.65,0.35,0.349,0.772,0,57.2366,23.8825,0.5827,1,0,285.28,307.943,346.749,0,579,17,53,581.202,246.47,101.334
