# ICDDR NO-REROUTE baseline trace (formula-consistent template)
# Scenario=Delhi | Seed=1301 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:59:42.197613Z
"# NOTE: Congestion detection + dissemination active, but rerouting is DISABLED (all reroute flags = 0)."

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,1022,D45-52,420,26,60,13.66,7.515,0.55,0.433,0.435,0,3,,0.977,1.594,13.563,6.823,0.575,0.648,0.863,0.666,0.334,0.22,0.457,0,15.6557,63.1666,3.0347,1,0,282.348,305.517,311.019,0,64,2,7,598.542,288.017,16.139
2,1,1368,D78-85,420,23,60,14.259,8.186,0.574,0.383,0.388,0,2,,-1.951,-1.848,1.276,4.972,1.0,0.614,0.866,0.665,0.335,0.884,0.961,0,35.0263,56.3671,0.6093,1,0,285.179,297.369,353.426,0,127,3,12,554.821,263.718,31.091
3,1,1160,D24-31,380,23,54,15.158,8.94,0.59,0.426,0.424,0,3,,-1.073,1.747,72.782,7.405,0.404,0.634,0.704,0.63,0.37,0.345,0.382,0,24.4487,50.9737,1.0849,1,0,306.424,317.638,359.219,0,199,4,19,618.678,275.385,45.398
4,1,1087,D78-85,300,17,43,12.636,7.982,0.632,0.395,0.393,0,2,,-0.053,1.252,54.416,5.676,0.802,0.676,0.815,0.682,0.318,0.47,0.697,0,56.3671,46.2251,0.1799,0,0,302.866,326.741,362.094,0,259,4,24,565.068,254.633,60.687
5,1,1121,D19-24,220,13,31,16.279,9.815,0.603,0.419,0.417,0,3,,0.741,-0.588,67.016,1.253,0.372,0.646,0.711,0.639,0.361,0.482,0.412,0,35.9367,27.2249,0.2424,1,0,314.642,328.842,381.401,0,333,6,31,576.08,280.201,73.855
6,1,1104,D78-85,340,20,49,14.205,8.077,0.569,0.408,0.41,0,3,,-1.263,1.727,68.439,6.854,0.38,0.614,0.868,0.658,0.342,0.419,0.393,0,56.3671,47.4626,0.158,0,0,293.55,326.444,354.689,0,405,8,39,576.105,259.028,89.115
7,1,1306,D12-19,340,20,49,12.99,7.793,0.6,0.408,0.407,0,3,,1.87,1.665,2.861,3.072,1.0,0.616,0.849,0.655,0.345,0.307,0.761,0,10.7955,51.9003,3.8076,1,0,292.288,319.528,351.765,0,480,9,46,595.326,261.765,104.731
8,1,1379,D45-52,300,17,43,16.404,9.824,0.599,0.395,0.396,0,2,,1.303,-0.118,59.236,7.809,0.329,0.603,0.875,0.658,0.342,0.529,0.397,0,63.1666,35.6078,0.4363,1,0,288.231,307.283,329.853,0,555,9,52,584.339,264.164,117.718
9,1,1249,D61-70,380,23,54,16.259,9.289,0.571,0.426,0.426,0,3,,-0.253,-1.523,42.495,0.492,0.736,0.718,0.836,0.698,0.302,0.936,0.796,0,17.7154,47.5205,1.6824,1,0,313.704,339.016,349.452,0,614,10,57,609.764,292.204,131.588
10,1,1053,D45-52,380,25,54,13.891,7.483,0.539,0.463,0.463,0,3,,1.314,1.21,2.29,6.689,1.0,0.672,0.855,0.668,0.332,0.864,0.955,0,35.6078,58.5498,0.6443,1,0,294.084,316.421,343.064,0,683,12,65,612.846,284.087,147.975
