# ICDDR NO-REROUTE baseline trace (formula-consistent template)
# Scenario=Delhi | Seed=1303 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:59:42.443854Z
"# NOTE: Congestion detection + dissemination active, but rerouting is DISABLED (all reroute flags = 0)."

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,1074,D24-31,420,23,60,14.345,8.246,0.575,0.383,0.388,0,2,,0.699,-0.406,57.061,4.859,0.817,0.688,0.76,0.681,0.319,0.373,0.675,0,30.4099,56.0272,0.8424,1,0,289.574,309.923,353.932,0,57,2,5,587.28,262.851,14.876
2,1,1391,D45-52,380,22,54,14.886,8.731,0.587,0.407,0.408,0,3,,1.678,-0.086,64.134,3.878,0.356,0.695,0.719,0.669,0.331,0.571,0.427,0,10.2244,50.5643,3.9455,1,0,274.275,302.91,312.416,0,132,3,12,570.004,258.102,29.313
3,1,1008,D12-19,420,26,60,13.038,6.959,0.534,0.433,0.437,0,3,,-1.801,1.703,59.46,5.763,0.33,0.642,0.826,0.656,0.344,0.628,0.433,0,10.2761,66.1817,5.4403,1,0,289.879,309.156,335.125,0,197,4,19,617.166,283.054,46.148
4,1,1313,D52-61,260,16,37,13.319,7.532,0.566,0.432,0.433,0,3,,-0.884,0.698,76.417,2.826,0.425,0.703,0.787,0.679,0.321,0.731,0.523,0,25.4774,40.0533,0.5721,1,0,304.917,327.976,342.023,0,275,5,26,585.727,278.239,62.26
5,1,1130,D37-45,380,20,54,16.21,10.075,0.622,0.37,0.371,0,2,,0.674,-0.047,36.698,4.5,0.204,0.58,0.85,0.649,0.351,0.482,0.302,0,32.4412,44.0232,0.357,1,0,287.973,313.657,334.651,0,336,7,31,571.858,253.29,74.758
6,1,1049,D45-52,260,15,37,13.477,7.523,0.558,0.405,0.409,0,3,,1.174,1.825,11.705,6.054,0.065,0.651,0.716,0.647,0.353,0.245,0.129,0,50.5643,38.1047,0.2464,1,0,284.033,311.161,334.745,0,407,8,37,579.882,281.13,90.692
7,1,1263,D61-70,460,25,66,11.853,7.573,0.639,0.379,0.377,0,2,,-1.096,-0.712,12.153,4.987,0.568,0.651,0.768,0.665,0.335,0.299,0.478,0,23.4211,73.7772,2.15,1,0,292.796,321.51,356.118,0,463,9,41,567.691,257.062,106.378
8,1,1262,D70-78,220,14,31,16.254,8.502,0.523,0.452,0.454,0,3,,0.017,-0.741,37.511,3.625,0.708,0.712,0.715,0.664,0.336,0.855,0.758,0,26.7651,28.5205,0.0656,0,0,301.949,324.717,334.081,0,528,11,49,626.859,283.514,121.411
9,1,1381,D37-45,460,28,66,14.048,7.375,0.525,0.424,0.429,0,3,,-1.092,0.672,81.411,5.684,0.452,0.681,0.889,0.691,0.309,0.721,0.535,0,44.0232,66.4234,0.5088,1,0,312.183,326.863,365.027,0,588,12,55,589.863,278.869,137.662
10,1,1398,D45-52,300,19,43,17.26,8.963,0.519,0.442,0.446,0,3,,-0.384,-1.283,31.044,7.036,0.672,0.684,0.789,0.667,0.333,0.37,0.572,0,38.1047,36.1357,0.0517,0,0,311.616,323.3,368.207,0,648,13,61,623.111,275.909,152.052
11,1,1071,D24-31,220,13,31,14.558,8.277,0.569,0.419,0.421,0,3,,-1.212,1.612,71.348,7.699,0.396,0.701,0.741,0.673,0.327,0.964,0.582,0,56.0272,30.445,0.4566,1,0,281.159,297.006,313.339,0,719,15,67,573.765,265.557,167.141
