# ICDDR NO-REROUTE baseline trace (formula-consistent template)
# Scenario=Manhattan | Seed=1204 | Duration=3600s | RSU_Distance=1000m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:59:41.984325Z
"# NOTE: Congestion detection + dissemination active, but rerouting is DISABLED (all reroute flags = 0)."

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,254,M45-52,460,24,66,16.761,10.664,0.636,0.364,0.364,0,2,,-1.321,-1.124,4.529,5.012,1.0,0.642,0.51,0.614,0.386,0.285,0.724,0,13.1252,51.0332,2.8882,1,0,267.296,279.173,323.589,0,60,1,6,562.181,248.279,11.716
2,1,186,M78-85,500,23,71,17.181,11.621,0.676,0.324,0.324,0,2,,-0.305,0.508,43.877,1.766,0.244,0.605,0.572,0.62,0.38,0.366,0.29,0,22.3373,51.0104,1.2836,1,0,256.504,283.081,321.135,0,124,3,11,557.895,250.798,21.957
3,1,170,M61-70,500,25,71,18.214,12.015,0.66,0.352,0.351,0,2,,1.172,-0.188,60.174,4.221,0.334,0.585,0.644,0.616,0.384,0.977,0.581,0,25.2134,50.1859,0.9904,1,0,292.673,322.17,357.195,0,187,4,17,537.396,249.343,31.904
4,1,238,M52-61,260,12,37,17.184,11.724,0.682,0.324,0.324,0,2,,1.261,-1.54,71.411,3.835,0.897,0.568,0.566,0.6,0.4,0.528,0.749,0,16.2575,26.5366,0.6323,1,0,264.794,287.575,321.719,0,248,6,22,555.907,248.1,42.019
5,1,336,M24-31,460,23,66,16.559,10.325,0.624,0.348,0.351,0,2,,1.632,-0.803,82.742,6.992,0.46,0.635,0.541,0.621,0.379,0.407,0.44,0,13.0818,50.5153,2.8615,1,0,284.54,309.725,348.376,0,312,7,28,541.898,251.347,54.052
6,1,255,M24-31,220,12,31,18.481,11.276,0.61,0.387,0.387,0,2,,-0.006,1.079,47.549,4.623,0.764,0.626,0.585,0.614,0.386,0.868,0.804,0,50.5153,22.9043,0.5466,1,0,283.828,316.703,313.24,0,383,9,35,565.441,264.399,65.166
7,1,127,M61-70,460,21,66,17.096,11.141,0.652,0.318,0.321,0,2,,-1.67,-1.528,2.285,4.819,1.0,0.562,0.525,0.591,0.409,0.294,0.711,0,50.1859,46.7538,0.0684,0,0,258.918,288.56,293.152,0,438,11,40,559.611,254.047,75.967
8,1,353,M61-70,260,14,37,16.903,10.473,0.62,0.378,0.379,0,2,,-1.004,1.593,76.993,0.812,0.428,0.664,0.638,0.646,0.354,0.621,0.496,0,50.1859,29.2245,0.4177,1,0,296.821,317.844,363.071,0,497,12,46,552.109,245.284,88.024
9,1,177,M37-45,380,19,54,18.013,11.577,0.643,0.352,0.352,0,2,,-0.945,1.048,89.708,3.68,0.998,0.634,0.694,0.65,0.35,0.897,0.963,0,31.6806,38.5524,0.2169,1,0,272.581,287.426,318.403,0,566,13,53,536.706,252.891,98.515
10,1,230,M45-52,300,14,43,15.266,10.215,0.669,0.326,0.326,0,2,,-0.045,-1.515,54.015,3.396,0.8,0.6,0.673,0.637,0.363,0.061,0.532,0,51.0332,34.5314,0.3234,1,0,266.488,304.988,301.9,0,635,15,58,529.598,243.0,110.526
11,1,140,M78-85,220,11,31,18.065,11.897,0.659,0.355,0.353,0,2,,-1.879,0.118,68.723,5.965,0.882,0.637,0.525,0.617,0.383,0.751,0.832,0,51.0104,22.3546,0.5618,1,0,288.022,299.481,316.974,0,707,16,64,568.826,264.066,120.639
12,1,293,M12-19,180,9,26,16.601,10.524,0.634,0.346,0.348,0,2,,1.694,-1.364,66.804,5.684,0.871,0.64,0.68,0.652,0.348,0.829,0.857,0,14.5192,19.6484,0.3533,1,0,293.134,321.971,333.987,0,760,18,69,533.161,251.507,132.408
13,1,254,M78-85,300,17,43,20.34,11.607,0.571,0.395,0.399,0,2,,-0.256,-0.47,10.832,3.179,0.56,0.658,0.691,0.648,0.352,0.413,0.508,0,22.3546,28.7172,0.2846,1,0,305.108,317.017,366.847,0,822,19,76,601.554,280.295,143.166
14,1,133,M45-52,300,16,43,17.566,10.966,0.624,0.372,0.372,0,2,,-0.523,-0.552,1.294,8.535,0.507,0.639,0.617,0.631,0.369,0.628,0.552,0,34.5314,32.1529,0.0689,0,0,296.513,325.249,341.288,0,895,20,83,559.594,269.959,154.564
