Time(s),Density,AvgSpeed(m/s),Alpha,CongestionScore_CD,Weight_wij,Sigma_Constrained(0/1),RerouteTriggered(0/1),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,0.356,10.493,0.724,0.348,0.276,0,0,44,0,1,560.925,119.94,10.434
2,0.45,9.137,0.63,0.442,0.37,0,0,95,0,3,612.402,165.307,22.87
3,0.362,10.413,0.718,0.354,0.282,0,0,140,0,4,561.096,121.825,33.422
4,0.408,9.742,0.672,0.4,0.328,0,0,188,0,6,598.746,146.615,44.964
5,0.429,9.436,0.651,0.421,0.349,0,0,238,0,8,606.569,156.208,56.957
6,0.374,10.232,0.706,0.366,0.294,0,0,284,0,10,600.855,134.951,67.776
7,0.374,10.237,0.706,0.366,0.294,0,0,330,0,12,590.381,132.48,78.587
8,0.439,9.293,0.641,0.431,0.359,0,0,380,0,14,606.654,159.84,90.792
9,0.382,10.114,0.698,0.374,0.302,0,0,426,0,16,586.617,134.618,101.785
10,0.376,10.215,0.704,0.368,0.296,0,0,472,0,18,593.933,133.83,112.63
11,0.423,9.522,0.657,0.415,0.343,0,0,521,0,20,629.068,159.774,124.497
12,0.371,10.281,0.709,0.363,0.291,0,0,566,0,22,587.19,130.69,135.243
13,0.379,10.166,0.701,0.371,0.299,0,0,612,0,24,611.215,138.943,146.159
14,0.429,9.438,0.651,0.421,0.349,0,0,662,0,26,608.357,156.638,158.15
15,0.437,9.318,0.643,0.429,0.357,0,0,712,0,28,619.02,162.444,170.318
16,0.407,9.761,0.673,0.399,0.327,0,0,760,0,30,597.024,145.74,181.833
17,0.395,9.932,0.685,0.387,0.315,0,0,807,0,32,620.671,147.102,193.094
18,0.424,9.516,0.656,0.416,0.344,0,0,856,0,34,586.99,149.239,204.97
19,0.445,9.209,0.635,0.437,0.365,0,0,907,0,36,605.773,161.702,217.299
20,0.449,9.151,0.631,0.441,0.369,0,0,958,0,38,634.55,170.904,229.713
21,0.41,9.72,0.67,0.402,0.33,0,0,1006,0,40,617.672,151.817,241.287
22,0.396,9.915,0.684,0.388,0.316,0,0,1053,0,42,593.965,141.192,252.574
23,0.422,9.535,0.658,0.414,0.342,0,0,1102,0,44,604.863,153.296,264.421
24,0.451,9.117,0.629,0.443,0.371,0,0,1153,0,46,620.834,168.098,276.886
25,0.402,9.83,0.678,0.394,0.322,0,0,1201,0,48,603.284,145.534,288.298
26,0.433,9.388,0.647,0.425,0.353,0,0,1251,0,50,613.342,159.174,300.362
27,0.425,9.502,0.655,0.417,0.345,0,0,1300,0,52,602.61,153.562,312.259
28,0.476,8.764,0.604,0.468,0.396,0,0,1353,0,55,658.906,188.018,325.245
29,0.439,9.294,0.641,0.431,0.359,0,0,1403,0,57,624.242,164.431,337.448
