Time(s),Density,AvgSpeed(m/s),Alpha,CongestionScore_CD,Weight_wij,Sigma_Constrained(0/1),RerouteTriggered(0/1),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,0.358,12.061,0.722,0.35,0.278,0,0,45,0,1,599.455,128.682,8.558
2,0.43,10.86,0.65,0.422,0.35,0,0,95,0,3,608.202,156.807,18.845
3,0.423,10.976,0.657,0.415,0.343,0,0,144,0,5,615.027,156.014,28.965
4,0.429,10.868,0.651,0.421,0.349,0,0,194,0,7,636.467,163.902,39.24
5,0.386,11.585,0.694,0.378,0.306,0,0,241,0,9,593.449,137.549,48.483
6,0.377,11.736,0.703,0.369,0.297,0,0,287,0,11,569.423,128.879,57.508
7,0.397,11.413,0.683,0.389,0.317,0,0,334,0,13,618.138,147.084,66.999
8,0.391,11.505,0.689,0.383,0.311,0,0,381,0,15,586.391,137.598,76.357
9,0.46,10.36,0.62,0.452,0.38,0,0,433,0,17,645.784,178.095,87.364
10,0.403,11.309,0.677,0.395,0.323,0,0,481,0,19,578.056,139.704,97.004
11,0.412,11.149,0.668,0.404,0.332,0,0,529,0,21,591.342,146.322,106.875
12,0.436,10.751,0.644,0.428,0.356,0,0,579,0,23,634.884,166.177,117.319
13,0.414,11.128,0.666,0.406,0.334,0,0,627,0,25,605.23,150.218,127.22
14,0.373,11.812,0.707,0.365,0.293,0,0,673,0,27,564.511,126.244,136.137
15,0.404,11.297,0.676,0.396,0.324,0,0,721,0,29,620.697,150.291,145.795
16,0.387,11.578,0.693,0.379,0.307,0,0,768,0,31,569.125,132.06,155.049
17,0.411,11.166,0.669,0.403,0.331,0,0,816,0,33,591.86,146.086,164.896
18,0.422,10.987,0.658,0.414,0.342,0,0,865,0,35,625.67,158.46,175.0
19,0.446,10.593,0.634,0.438,0.366,0,0,916,0,37,617.056,165.019,185.672
20,0.395,11.442,0.685,0.387,0.315,0,0,963,0,39,582.578,138.019,195.121
21,0.474,10.128,0.606,0.466,0.394,0,0,1016,0,42,629.775,178.936,206.461
22,0.473,10.132,0.607,0.465,0.393,0,0,1069,0,45,632.899,179.73,217.796
23,0.438,10.728,0.642,0.43,0.358,0,0,1119,0,47,615.701,161.65,228.273
24,0.446,10.586,0.634,0.438,0.366,0,0,1170,0,49,624.83,167.247,238.954
25,0.421,11.002,0.659,0.413,0.341,0,0,1219,0,51,597.921,151.111,249.037
26,0.471,10.171,0.609,0.463,0.391,0,0,1271,0,53,658.337,186.028,260.315
27,0.417,11.074,0.663,0.409,0.337,0,0,1320,0,55,608.733,152.263,270.294
28,0.391,11.508,0.689,0.383,0.311,0,0,1367,0,57,608.898,142.802,279.647
29,0.471,10.176,0.609,0.463,0.391,0,0,1419,0,59,654.362,184.784,290.919
30,0.441,10.679,0.639,0.433,0.361,0,0,1469,0,61,608.814,160.934,301.467
31,0.399,11.37,0.681,0.391,0.319,0,0,1516,0,63,594.696,142.429,311.019
32,0.416,11.097,0.664,0.408,0.336,0,0,1565,0,65,600.774,149.781,320.965
33,0.469,10.199,0.611,0.461,0.389,0,0,1617,0,67,623.071,175.446,332.204
34,0.421,11.011,0.659,0.413,0.341,0,0,1666,0,69,604.197,152.504,342.274
35,0.485,9.936,0.595,0.477,0.405,0,0,1719,0,72,630.477,183.478,353.891
36,0.413,11.138,0.667,0.405,0.333,0,0,1767,0,74,592.382,146.816,363.778
37,0.419,11.04,0.661,0.411,0.339,0,0,1816,0,76,622.44,156.456,373.806
38,0.445,10.61,0.635,0.437,0.365,0,0,1867,0,78,611.572,163.165,384.452
39,0.461,10.339,0.619,0.453,0.381,0,0,1919,0,80,626.465,173.253,395.49
40,0.415,11.098,0.665,0.407,0.335,0,0,1968,0,82,631.849,157.5,405.434
41,0.473,10.134,0.607,0.465,0.393,0,0,2021,0,85,625.79,177.666,416.766
42,0.451,10.505,0.629,0.443,0.371,0,0,2072,0,87,637.863,172.579,427.563
43,0.432,10.829,0.648,0.424,0.352,0,0,2122,0,89,612.882,158.704,437.895
44,0.42,11.021,0.66,0.412,0.34,0,0,2171,0,91,606.277,152.804,447.95
45,0.474,10.128,0.606,0.466,0.394,0,0,2224,0,94,623.057,177.016,459.29
46,0.461,10.33,0.619,0.453,0.381,0,0,2276,0,96,622.019,172.212,470.34
47,0.431,10.837,0.649,0.423,0.351,0,0,2326,0,98,595.826,154.104,480.659
48,0.435,10.768,0.645,0.427,0.355,0,0,2376,0,100,593.0,154.851,491.079
49,0.432,10.825,0.648,0.424,0.352,0,0,2426,0,102,627.458,162.561,501.416
50,0.453,10.464,0.627,0.445,0.373,0,0,2477,0,104,607.026,165.136,512.273
