Time(s),Density,CongestionFactor(1-10),ExpectedTravelTime_ETT,Weight_wij,TTL,ProactiveTriggered(0/1),MaintenanceTriggered(0/1),ReactiveTriggered(0/1),PacketsTx_cum,PacketCollisions_cum,PacketsLost_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,0.377,4,114.482,457.927,2,0,0,0,35,1,0,599.932,113.013,11.247
2,0.45,5,58.485,292.426,3,0,0,0,72,2,0,634.659,142.657,24.125
3,0.375,4,52.608,210.43,2,0,0,0,107,3,0,601.023,112.76,35.338
4,0.383,4,64.446,257.785,2,0,0,0,142,4,0,601.536,115.211,46.727
5,0.372,4,42.881,171.524,2,0,0,0,176,5,0,614.907,114.261,57.859
6,0.361,4,114.695,458.78,2,0,0,0,210,6,0,587.278,105.861,68.743
7,0.367,4,37.46,149.838,2,0,0,0,244,7,0,588.083,108.008,79.779
8,0.376,4,71.865,287.46,2,0,0,0,279,8,0,619.353,116.376,91.005
9,0.417,5,61.463,307.313,3,0,0,0,315,9,0,641.014,133.604,103.15
10,0.418,5,100.514,502.572,3,1,1,0,376,11,0,624.059,130.473,115.325
11,0.449,5,28.753,143.767,3,0,0,0,413,12,0,662.959,148.84,128.191
12,0.413,5,32.624,163.122,3,1,0,0,474,14,0,620.985,128.25,140.251
13,0.414,5,27.558,137.788,3,1,0,0,535,16,0,628.774,130.001,152.322
14,0.413,5,30.672,153.362,3,0,0,0,571,17,0,613.768,126.598,164.37
15,0.433,5,51.015,255.076,3,0,0,0,608,18,0,642.784,139.219,176.881
16,0.471,5,109.55,547.748,3,1,0,0,671,21,0,675.159,159.147,190.249
17,0.401,5,45.451,227.257,3,0,0,0,707,22,0,625.678,125.315,202.03
18,0.418,5,41.337,206.685,3,0,0,0,743,23,0,644.019,134.522,214.196
19,0.462,5,107.01,535.052,3,0,0,0,781,24,0,635.985,146.83,227.347
20,0.442,5,99.209,496.043,3,1,1,0,843,26,0,631.514,139.622,240.06
21,0.445,5,118.144,590.722,3,1,0,0,905,28,0,634.662,141.187,252.834
22,0.463,5,80.518,402.588,3,1,0,0,968,30,0,655.198,151.752,266.018
23,0.472,5,57.515,287.577,3,0,0,0,1006,31,0,649.996,153.526,279.408
24,0.436,5,36.644,183.22,3,0,0,0,1043,32,0,639.483,139.405,291.982
25,0.457,5,80.214,401.071,3,0,0,0,1081,33,0,639.483,145.966,305.016
26,0.45,5,20.982,104.911,3,1,0,0,1143,35,0,651.979,146.571,317.896
27,0.412,5,74.481,372.404,3,0,0,0,1179,36,0,613.184,126.419,329.94
28,0.48,5,43.687,218.435,3,1,0,0,1243,39,0,669.509,160.564,343.492
29,0.481,5,94.701,473.505,3,0,0,0,1282,40,0,658.502,158.475,357.082
30,0.422,5,80.48,402.399,3,1,1,0,1343,42,0,614.833,129.731,369.342
31,0.425,5,71.932,359.662,3,0,0,0,1379,43,0,622.779,132.335,381.67
32,0.42,5,53.739,268.694,3,0,0,0,1415,44,0,631.245,132.615,393.89
33,0.409,5,79.677,398.385,3,0,0,0,1451,45,0,631.567,129.177,405.861
34,0.475,5,20.192,100.958,3,0,0,0,1490,46,0,664.146,157.846,419.316
35,0.491,5,107.685,538.426,3,1,0,0,1554,49,0,654.529,160.699,433.124
36,0.489,5,31.131,155.655,3,0,0,0,1593,50,0,670.639,163.839,446.876
37,0.42,5,91.695,458.476,3,0,0,1,1629,51,0,629.64,132.36,459.102
38,0.444,5,58.345,291.725,3,0,0,1,1666,52,0,638.254,141.557,471.846
39,0.452,5,50.762,253.809,3,0,0,0,1704,53,0,652.662,147.46,484.776
