Time(s),Density,CongestionFactor(1-10),ExpectedTravelTime_ETT,Weight_wij,TTL,ProactiveTriggered(0/1),MaintenanceTriggered(0/1),ReactiveTriggered(0/1),PacketsTx_cum,PacketCollisions_cum,PacketsLost_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,0.401,5,55.999,279.995,3,0,0,0,36,1,0,618.738,124.087,10.0
2,0.355,4,53.49,213.96,2,0,0,0,70,2,0,578.941,102.855,18.854
3,0.384,4,53.863,215.453,2,0,0,0,105,3,0,626.925,120.244,28.416
4,0.359,4,42.847,171.387,2,0,0,0,139,4,0,586.489,105.203,37.356
5,0.413,5,20.085,100.424,3,0,0,1,175,5,0,616.662,127.279,47.65
6,0.448,5,58.666,293.329,3,0,0,0,212,6,0,660.492,147.857,58.817
7,0.385,4,62.718,250.871,2,0,0,0,247,7,0,609.935,117.422,68.415
8,0.438,5,95.45,477.248,3,1,0,0,309,9,0,650.545,142.444,79.338
9,0.449,5,38.118,190.591,3,0,0,0,346,10,0,640.796,143.978,90.547
10,0.427,5,34.905,174.526,3,0,1,0,383,11,0,618.949,132.255,101.205
11,0.371,4,63.051,252.202,2,0,0,0,417,12,0,586.577,108.791,110.45
12,0.41,5,117.74,588.702,3,0,0,0,453,13,0,633.032,129.621,120.661
13,0.407,5,77.02,385.101,3,1,0,1,514,15,0,632.352,128.783,130.817
14,0.415,5,24.872,124.362,3,0,0,0,550,16,0,617.745,128.239,141.17
15,0.421,5,100.394,501.97,3,0,0,0,586,17,0,611.77,128.732,151.665
16,0.452,5,77.146,385.732,3,0,0,0,624,18,0,663.494,149.907,162.936
17,0.467,5,50.28,251.402,3,0,0,0,662,19,0,658.43,153.862,174.596
18,0.38,4,56.406,225.624,2,0,0,0,697,20,0,625.529,118.964,184.077
19,0.452,5,110.431,552.153,3,0,0,0,735,21,0,643.613,145.385,195.346
20,0.384,4,70.67,282.678,2,0,1,0,770,22,0,622.441,119.568,204.923
21,0.447,5,118.144,590.718,3,0,0,0,807,23,0,631.522,140.999,216.061
22,0.419,5,91.336,456.681,3,0,0,0,843,24,0,631.056,132.167,226.507
23,0.399,5,30.05,150.248,3,1,0,0,903,26,0,609.463,121.493,236.447
24,0.416,5,108.771,543.855,3,1,0,0,964,28,0,635.623,132.086,246.81
25,0.406,5,116.573,582.863,3,0,0,0,1000,29,0,610.896,124.146,256.944
26,0.415,5,44.879,224.395,3,1,0,0,1061,31,0,642.684,133.468,267.301
27,0.463,5,23.053,115.264,3,0,0,0,1099,32,0,669.933,154.953,278.842
28,0.42,5,100.88,504.4,3,1,0,0,1160,34,0,632.19,132.664,289.308
